,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
6144,D,7,7,L,W,W,W,L,W,-1,-5,0,-1,-3.0
6145,D,3,5,L,L,L,L,L,L,-9,-3,-2,-1,-13.0
6146,A,7,13,W,L,D,W,W,W,-3,8,-6,-6,18.0
6147,D,7,8,L,W,L,W,W,L,-3,1,-1,0,-5.0
6148,D,12,2,W,L,L,D,L,L,5,-11,10,8,-4.0
6149,H,14,18,W,W,W,W,W,W,7,13,-4,-2,-1.0
6150,H,16,4,W,W,W,L,L,L,9,-6,12,14,-10.0
6151,H,8,7,D,W,L,L,L,L,-5,-7,1,7,-4.0
6152,H,13,8,W,L,L,D,L,W,3,-3,5,0,9.0
6153,A,11,4,D,W,W,D,L,L,3,-9,7,10,8.0
6154,D,18,14,L,W,W,D,L,W,11,6,4,2,-7.0
6155,H,3,2,D,D,L,D,L,L,-11,-7,1,0,-8.0
6156,D,9,17,D,D,W,W,W,W,1,9,-8,-7,11.0
6157,A,6,8,D,L,L,D,L,W,-3,-1,-2,-5,7.0
6158,H,9,7,D,W,W,L,W,L,1,-4,2,4,-14.0
6159,D,16,13,W,W,W,D,W,L,8,5,3,6,3.0
6160,D,19,6,W,W,W,L,D,L,10,-4,13,14,-18.0
6161,D,11,18,W,D,W,D,W,W,0,9,-7,-3,13.0
6162,H,7,15,L,L,W,D,D,L,-6,6,-8,-4,9.0
6163,A,7,6,L,L,L,W,D,D,-12,-9,1,-4,11.0
6164,H,8,11,L,D,L,L,D,W,-6,2,-3,-6,-14.0
6165,H,17,10,D,W,W,D,D,D,8,1,7,7,-6.0
6166,D,4,11,L,L,L,W,D,L,-7,0,-7,-9,-1.0
6167,H,7,2,W,D,L,L,D,L,-8,-9,5,3,-10.0
6168,H,16,14,W,W,L,D,D,W,6,5,2,2,5.0
6169,D,19,12,D,L,W,W,D,W,11,3,7,0,-2.0
6170,A,11,20,L,L,D,W,D,W,0,9,-9,-6,7.0
6171,D,14,10,L,D,D,W,L,L,1,-5,4,-1,-15.0
6172,H,7,12,D,L,D,D,W,D,-4,0,-5,-6,4.0
6173,A,2,20,L,L,D,D,W,W,-10,10,-18,-12,15.0
6174,D,19,11,D,D,W,W,L,D,9,-4,8,4,2.0
6175,H,12,7,D,W,D,L,L,L,0,-14,5,8,-7.0
6176,A,10,20,L,D,D,D,D,L,0,11,-10,-2,10.0
6177,H,15,10,L,D,D,W,W,D,5,-7,5,-2,4.0
6178,A,13,19,D,W,D,W,W,W,3,10,-6,2,-4.0
6179,H,9,5,W,W,D,D,L,L,-7,-7,4,7,-3.0
6180,A,12,2,L,D,W,L,L,L,-2,-13,10,7,-1.0
6181,H,11,11,D,W,L,L,L,L,-5,-2,0,3,5.0
6182,H,22,18,W,W,W,W,L,D,12,7,4,7,-1.0
6183,D,23,10,W,D,D,W,D,L,15,-2,13,3,-16.0
6184,D,10,12,L,W,W,W,W,W,-9,-5,-2,-4,-2.0
6185,D,23,20,W,D,W,D,D,D,13,9,3,4,-1.0
6186,H,7,13,L,L,L,L,D,W,-15,1,-6,-8,14.0
6187,A,12,10,D,W,L,L,L,D,-4,-4,2,2,-13.0
6188,H,23,15,W,W,D,W,D,W,11,1,8,5,-5.0
6189,A,5,15,L,D,L,D,L,D,-9,1,-10,-5,7.0
6190,A,11,24,L,L,L,D,W,D,-3,15,-13,-5,11.0
6191,D,18,5,L,W,L,L,L,D,2,-11,13,4,-1.0
6192,D,18,24,W,D,L,D,W,D,3,13,-6,-5,3.0
6193,D,13,26,L,L,D,W,W,W,0,16,-13,-8,-2.0
6194,A,13,12,D,W,W,L,L,D,-5,-3,1,6,-7.0
6195,H,5,10,W,L,L,W,L,L,-12,-14,-5,1,-3.0
6196,H,21,11,D,D,D,D,L,W,9,-9,10,-1,-4.0
6197,H,15,12,L,W,D,L,D,W,-4,-5,3,3,12.0
6198,A,11,25,D,W,D,W,W,W,-2,17,-14,-9,10.0
6199,H,13,14,W,L,L,W,D,W,-3,-4,-1,-2,-6.0
6200,A,14,27,L,W,D,W,D,W,-8,16,-13,-2,16.0
6201,H,28,24,W,W,W,W,D,D,18,10,4,8,7.0
6202,D,10,16,L,W,L,W,W,L,-17,1,-6,-4,6.0
